Reporting country,Reference period,Item code,Item name,Value,Undertaking type,Date of extraction (yyyymmdd),"Number of submissions (per reporting country, reference date and undertaking type)"
AUSTRIA,2016 Q4,R0640_P50,Ratio of Eligible own funds to MCR (P50),8.59454,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0640_P50,Ratio of Eligible own funds to MCR (P50),7.35233,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0640_P75,Ratio of Eligible own funds to MCR (P75),9.62357,All undertaking types,20250930,38
AUSTRIA,2016 Q4,R0640_P75,Ratio of Eligible own funds to MCR (P75),6.07995,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0640_P75,Ratio of Eligible own funds to MCR (P75),11.27947,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0640_P75,Ratio of Eligible own funds to MCR (P75),9.46263,Other undertakings,20250930,17
AUSTRIA,2016 Q4,R0640_P90,Ratio of Eligible own funds to MCR (P90),12.60647,All undertaking types,20250930,38
AUSTRIA,2016 Q4,R0640_P90,Ratio of Eligible own funds to MCR (P90),6.25534,Life undertakings,20250930,6
AUSTRIA,2016 Q4,R0640_P90,Ratio of Eligible own funds to MCR (P90),13.96458,Non-Life undertakings,20250930,15
AUSTRIA,2016 Q4,R0640_P90,Ratio of Eligible own funds to MCR (P90),9.80118,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0500,Total available own funds to meet the SCR,803.467174,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0500,Total available own funds to meet the SCR,17734.794864,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0500,Total available own funds to meet the SCR,18406.20128,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0510,Total available own funds to meet the MCR,803.467174,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0510,Total available own funds to meet the MCR,17598.157426,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0510,Total available own funds to meet the MCR,18333.007292,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0540,Total eligible own funds to meet the SCR,803.467174,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0540,Total eligible own funds to meet the SCR,17345.724709,Non-Life undertakings,20250930,15
AUSTRIA,2017 Q1,R0540,Total eligible own funds to meet the SCR,18406.20128,Other undertakings,20250930,17
AUSTRIA,2017 Q1,R0550,Total eligible own funds to meet the MCR,803.467174,Life undertakings,20250930,6
AUSTRIA,2017 Q1,R0550,Total eligible own funds to meet the MCR,15879.269685,Non-Life undertakings,20250930,15
